experiment,seed,epoch,train_loss,val_loss,accuracy
baseline,42,1,2.022361,1.559545,0.4091
baseline,42,2,1.450309,1.387323,0.504
baseline,42,3,1.168755,1.107004,0.6119
baseline,42,4,0.96757,0.918255,0.6804
baseline,42,5,0.793599,0.991534,0.6687
baseline,42,6,0.674458,0.798783,0.7271
baseline,42,7,0.606309,0.608989,0.7918
baseline,42,8,0.56224,0.701094,0.7602
baseline,42,9,0.534854,0.856225,0.7137
baseline,42,10,0.51152,0.836346,0.7347
baseline,42,11,0.33836,0.342493,0.8835
baseline,42,12,0.283505,0.331074,0.8877
baseline,42,13,0.255616,0.316592,0.8918
baseline,42,14,0.233329,0.310702,0.8952
baseline,42,15,0.224343,0.311165,0.8936
baseline,42,16,0.189413,0.284471,0.902
baseline,42,17,0.179255,0.282351,0.9052
baseline,42,18,0.17643,0.27951,0.9041
baseline,42,19,0.174525,0.280197,0.9049
baseline,42,20,0.171611,0.279763,0.9064
