experiment,seed,epoch,train_loss,val_loss,accuracy
ls,17,1,2.157851,1.791837,0.3897
ls,17,2,1.653124,1.553701,0.5073
ls,17,3,1.405001,1.342888,0.6243
ls,17,4,1.221904,1.197648,0.6895
ls,17,5,1.094523,1.100874,0.7391
ls,17,6,1.010291,1.153691,0.7122
ls,17,7,0.963845,1.129028,0.7301
ls,17,8,0.928922,1.025641,0.7757
ls,17,9,0.91021,0.999452,0.7912
ls,17,10,0.887404,1.002029,0.7824
ls,17,11,0.751387,0.755937,0.8898
ls,17,12,0.707096,0.739487,0.8967
ls,17,13,0.687965,0.742567,0.8969
ls,17,14,0.675566,0.732471,0.9
ls,17,15,0.662012,0.72186,0.9049
ls,17,16,0.638278,0.709084,0.9106
ls,17,17,0.632143,0.704123,0.9141
ls,17,18,0.629105,0.703719,0.9132
ls,17,19,0.624709,0.702438,0.9141
ls,17,20,0.62221,0.701724,0.9136
